QuestID,English,Chinese
301008,Learning Together,团结的试炼
301009,Lost Knight,下落不明
301010,The Corps's Biggest Test,自卫团最漫长的一天
301011,A Little Help from the Shadows,孤军奋战
301012,Soupstock's Trap,真相大白
301013,The Votes Are In,谁是赢家
301014,A Greater Whole,想守护的事物
301015,A Duel for the Ages,以拳决胜
301016,Crimson and Ebony,真红与幽冥
301017,Vestiges,残渣
301018,Sibling Squabble,少女的意图与青年的真心话
301019,Day of Reckoning,审判之日
401301,Make Our Skies Safe Again,协助保卫天空！
401303,Worried about Papa,担心爸爸
401305,Fort Fumigation,突袭泽加德据点
401306,Defeat—*wheeze*—Goblin Boss,如果可以的话……请消灭兽人头目……
401310,Bash the Goblin Hordes,清剿哥布林大军！
401311,Guard Our Hometown,求你保卫我们的故乡……！
401315,Protect Our Woods,木材是城镇不可或缺的资源
401316,Tomorrow's Prayers,为了明日的祈祷
402301,Rilla Done Did It,哥利搞砸了
402302,Golemology 101: Desert Golems,据说有值得研究的魔像
402304,On the Front Lines,保卫国家的最前线
402306,I See a Bloody Vision,花都仍未摆脱危机……
402308,Sweep the Volcano,清剿危险地带
402309,The Saga Continues: Fire,英雄传说 炎之章
402310,Dagger Really Done Did It,德戈干了蠢事
402312,The Saga Continues: Ice,英雄传说 冰之章
402313,Saga Grande: The Beginning,新的英雄传说开幕！
402314,"Spare the Rod, Spoil the Valley",对破坏圣地的家伙施以制裁！
402315,Eye Have a Problem,帮我忘掉那家伙！
402316,Only You Can Prevent Forest Flyers,森林中潜藏的危机
403201,Delts of Our Lives,肩扛小型骑空艇？
403202,Hide and Chic,冰霜皮革简直棒极了
403301,Rule the Skies,天空的主宰
403302,The Juice of Jealousy,酒没被抢！不可饶恕！
403303,Unthinning the Troops,自卫团已经尽力了
403307,Protect the Rep,挽回污名？洗刷荣誉？
403308,Collector's Digest,吞食贵重钱币的家伙
403309,"Looming Tower, Leering Eye",恶意之塔的恶意眼球
403311,I See a Flaming Vision,快去守护那里……
403312,Drumsticks au Griffin,想吃狮鹫的翅根
404101,Wings of Antiquity,峡谷中的远古气息
404204,Dark Refrain,异常之塔愈发异常
404309,No One Likes Leftovers,不长记性的教团余党
404310,I See a Deathly Vision,快去阻止那些魍魉……
404311,The Next Hot Topic,崭新的潮流从崭新的材料开始
404313,Golemology 102: Volcanic Golems,难以置信！火山有魔像？！
404315,Seeds of Trouble,希德霍姆的种种危机
404316,A Bone to Peak,魍魉须超度
404317,Absolutely No Trespassers!,休想闯入神圣的灵峰！
405101,License to Thrill,考验实力与意志
405309,Assault Formation!,协助缴获教团的战舰！
405310,Great Goblins of Fire,火山有哥布林！
405311,Shedding Light on the Pillar,探索扭曲之塔的谜团
405201,Saga Illustrated: The Beginning,为泽卡·格兰迪带来新的画风
405202,Learning from the Past,为了避免重蹈覆辙
405203,Saga Illustrated: Inferno,能再和我讲一些吗？
405205,To Know the Unknowable,教团事变整理
405206,General Investigation: Gallanza,调查前阿维亚三将军——伽兰查
405207,General Investigation: Maglielle,调查前阿维亚三将军——玛琪拉菲菈
405208,General Investigation: Id,调查前阿维亚三将军——伊德
405302,Wings of Conflagration,炼狱中肆虐的烈焰气息
405303,Wings of Upheaval,遗迹内沉睡的大地气息
405304,Wings of the Storm,祭坛外呼啸的暴风气息
405305,Wings of Rime,灵峰上静坐的极寒气息
405308,Gulp... So These Are the Rumored Monsters,攻击性十足的魔物们
406101,Back to the Fated Land,因果之地
406323,I See a Chromatic Vision,禁忌的凶兽集结
406324,Revenge of the Hordes,决战哥布林大军
406325,Hope in the Machine,机械所承载的意志
406327,Hallowed Be Thy Ground,闪烁微光的石头
406330,The Saga Continues: Earth,吟游诗人的自尊
406331,The Saga Continues: Wind,渴望歌颂新的英雄传说
406332,Saga Illustrated: Crystal,艺术家间的竞争
406333,Saga Illustrated: Hellfire,画家的挑战
406334,The Saga Continues: Silver,让我歌颂与白狼兵团的大战
406335,Saga Illustrated: Veil,让我描绘与刃重众的大战
406337,Id Bears Repeating,无法消除的罪孽
406339,406339,
406338,Saga Grande: Happily Ever After,结为夫妇共同见证结局
406351,Roost and Reign,飞龙之谷的空战……！
406352,Boss Done Wants It Did,有点小麻烦
406353,Know Your Enemy,黑色的武装要塞
406354,Serenity Upon the Mount,愿涅咎里斯灵峰安宁
406355,Golemology 103: Forest Golems,连这地方都有魔像！
406356,A New Breed,危险狮鹫出没
406357,"Death, Taxes, and Goblins",哥布林势不可挡
406358,Icy Eye on the Holy Prize,圣地之路上的冰影之瞳
406359,Rumble in the Desert,解决沙漠狂徒
406360,I See a Grim Vision,被诅咒的战士之魂徘徊此地……
406361,Slimepede,史莱姆大军！
406363,406363,
406365,Armor Is Best Served Cold,我要打造冰冷的铠甲
406366,A Heated Rivalry,我要打造火热的盾牌
406364,Throw a Smith a Bone,商业头脑
407101,The Final Report,最后的真相
407301,Blazing Trial,红莲
407302,Grounded Trial,地绝
407303,Stormy Trial,肆虐
407304,Frigid Trial,雾冰
407305,Worst Vacation Ever,恐怖视线与诅咒之骨
407306,Trade Barriers,保障贸易路线的安全
407307,Melting Pot of Hostility,火场的骚乱
407308,Banquet of Ice and Corpses,霜与骸的盛宴
407309,For a Freer Folca,弗尔卡近郊加倍奉还行动
407310,A Quest of Fire and Earth,红莲暴怒，地绝涌动
407311,A Quest of Frost and Storm,雾冰霜降，暴风肆虐
407312,The Wolf and the Veil,白狼的信念与刃重的决意
407313,Calamity Incarnate,风神的邪秽灾祸
407314,As Fierce as the Silver Wolf,狼神的污浊威光
407315,Memories of Fire,火神的暴虐恐惧
407316,Thunderbolts and Lightning,雷霆
407317,Into the Abyss,地狱
407318,The Tale of Bahamut's Rage,便利屋画卷《翱翔云天的黑银之翼》
407319,The Automagod Strikes Back,天降者
407320,The Final Vision,终焉幻影
407321,Zero,Zero
407322,Lock Horns,狂暴凶角
407323,Dark Swordsman's Nightmare,晦暗之刃的噩梦
407324,Pageant of Might and Magic,至尊舞刀会
407325,"Zathba's ""Volunteers""",来自扎斯巴的支援请求
656365,656365,
456918,456918,
